Date,TempMax,TempMin,TempMean,Precipitation,PrecipHours,WindSpeed,SunshineDuration
1979-02-21,41.5,30.4,34.9,0.224,15,12.8,16800.46
1979-02-22,40.5,24.5,32,0.012,2,12,35729.14
1979-02-23,37.7,19.9,28.6,0.287,17,9.2,17075.3
1979-02-24,35,19.1,28.3,0.024,2,6.2,36872
1979-02-25,38.7,15.3,26.8,0,0,3.6,35000.78
1979-02-26,42.3,20.4,31.2,0,0,4,26626.39
1979-02-27,43.3,27.7,34.8,0,0,5.9,37335.19
1979-02-28,45.1,19.6,32.5,0,0,4.9,31132.02
1979-03-01,47,25.8,35.8,0.118,8,11.9,22196.57
1979-03-02,44.4,29.4,36.3,0.087,11,10.6,31501.27
1979-03-03,39.2,25.1,31.4,0,0,8.5,37956.09
1979-03-04,41.5,19.3,31.2,0,0,2.9,38111.1
1979-03-05,45.6,20,34.2,0,0,3.5,38265.79
1979-03-06,51,29.7,40.4,0,0,3.8,38420.06
1979-03-07,55.1,29.9,42.8,0,0,2.9,38573.79
1979-03-08,56.9,29.4,41.6,0,0,15.8,38726.87
1979-03-09,44,27.5,35.1,0,0,8.4,38879.18
1979-03-10,45.5,20.1,33.5,0,0,4.3,39031
1979-03-11,50.4,22.4,37,0,0,3.2,39183.41
1979-03-12,54.5,25.8,40.1,0,0,5.3,39336.42
1979-03-13,56.3,27.6,41.6,0,0,7.4,39446.48
1979-03-14,54.2,28.1,40.4,0.028,4,8.8,33290.8
1979-03-15,53.7,34.1,42.4,0.016,3,7.8,39567.06
1979-03-16,55.7,30.9,42.9,0.059,4,17.9,28750.24
1979-03-17,49,30.7,40.8,0,0,8.1,39638.54
1979-03-18,47.5,32.5,39,0.004,1,8.1,39735.94
1979-03-19,48.9,28.2,38.2,0.122,5,7.3,36027.06
1979-03-20,48,29.9,38.6,0.311,17,7.1,24493.86
1979-03-21,44.5,34.1,39.2,0.28,22,6.5,16344.22
1979-03-22,48.1,34.5,40,0.122,13,5.9,37746.68
1979-03-23,49.2,29.9,39.6,0.016,3,9.1,40295.37
1979-03-24,51.8,29.9,41.2,0,0,6.2,40591.06
1979-03-25,55.3,28.4,43.2,0,0,8,40860.57
1979-03-26,57.9,32.1,46.2,0,0,11.4,39953.15
1979-03-27,60,37.7,48.7,0.039,5,18.7,27813.96
1979-03-28,54.5,39.9,46,0.744,20,12.3,26819.93
1979-03-29,47.7,36.8,41.8,0.228,11,16.7,31956.21
1979-03-30,50.9,30.9,41.1,0.094,9,9.1,41237.28
1979-03-31,45,31.1,37.8,0.059,5,12.3,34184.84
1979-04-01,42.2,29,35,0,0,11.4,41739.85
1979-04-02,41.3,26.3,34.3,0.016,3,7.4,41670.73
1979-04-03,44.7,25.1,35.4,0,0,10.6,42191.75
1979-04-04,51,27.3,40.1,0,0,13.2,42385.79
1979-04-05,59,30.2,46,0,0,5.5,42954.89
1979-04-06,67.5,31.1,49.8,0,0,12.8,42310.39
1979-04-07,66.9,42,53.8,0,0,12.8,42405.15
1979-04-08,62.6,41.6,51.9,0,0,4.7,43396.58
